NDSN
BAX
ALB
REG
DECK
GLW
CTSH
AVGO
RTX
AVY
PKG
YUM
VRTX
LLY
AJG
MTD
GDDY
LNT
ALLE
ATO
CME
CAG
J
MRNA
ARE
LYB
CB
PLD
NRG
PNC
WST
GPN
CMS
HRL
MET
DELL
SYY
UAL
ABBV
ROST
SYF
CPB
PSX
WEC
EQR
VTR
CDNS
CLX
SPGI
EFX
WMB
WBD
FSLR
ADP
EXPD
ESS
TAP
CVS
SNPS
AMCR
QCOM
HBAN
LRCX
BLK
FITB
ACGL
LMT
D
NEM
MSI
XOM
MKC
CHTR
POOL
APA
AEE
OXY
CL
SRE
DG
TDY
WMT
AVB
TRV
UDR
HPQ
NKE
FFIV
CAH
FAST
EXC
CSCO
ORCL
DHR
VTRS
PH
NCLH
APO
MPWR
SW
AAPL
MSFT
AMZN
GOOGL
NVDA
