date,ticker,news_count,esg_hits,sdg_hits,esg_score,sdg_score,esg_sdg_score,overall_score,avg_bm25_esg,avg_bm25_sdg
2019-01-02,ABBV,1,0,0,0.0,0.0,0.0,0.8372915387153625,3.6448739313507454,0.0
2019-01-02,ADP,1,0,0,0.0,0.0,0.0,-0.08349554240703583,0.0,0.0
2019-01-02,AEE,1,0,0,0.0,0.0,0.0,0.0893779769539833,0.0,0.0
2019-01-02,ALB,2,0,0,0.0,0.0,0.0,0.22502010315656662,0.0,0.0
2019-01-02,ALLE,1,0,0,0.0,0.0,0.0,0.9275835752487183,0.0,0.0
2019-01-02,APO,2,0,0,0.0,0.0,0.0,-0.0893823429942131,0.0,0.0
2019-01-02,AVB,1,0,0,0.0,0.0,0.0,0.2622317671775818,0.0,0.0
2019-01-02,AVGO,4,0,0,0.0,0.0,0.0,-0.5685161501169205,0.0,0.0
2019-01-02,BAX,6,0,0,0.0,0.0,0.0,0.20508095994591713,0.0,0.0
2019-01-02,BLK,3,0,0,0.0,0.0,0.0,0.41484082986911136,2.1005742274119266,1.1425773898952885
2019-01-02,CAG,1,0,0,0.0,0.0,0.0,-0.7897063493728638,0.0,0.0
2019-01-02,CDNS,1,0,0,0.0,0.0,0.0,-0.043416351079940796,0.0,0.0
2019-01-02,CHTR,1,0,0,0.0,0.0,0.0,-0.007233064621686935,0.0,0.0
2019-01-02,CPB,1,0,0,0.0,0.0,0.0,-0.8671407699584961,0.0,0.0
2019-01-02,CSCO,2,0,0,0.0,0.0,0.0,-0.4901583706960082,0.0,0.0
2019-01-02,D,6,0,0,0.0,0.0,0.0,0.027479193173348904,5.650927133143146,2.8365141526151376
2019-01-02,DECK,1,0,0,0.0,0.0,0.0,-0.8937345147132874,0.0,0.0
2019-01-02,DHR,1,0,0,0.0,0.0,0.0,0.6432725191116333,0.0,2.7950611405953842
2019-01-02,EFX,6,0,0,0.0,0.0,0.0,0.3979352091749509,3.189899751672673,3.0888575076650517
2019-01-02,ESS,1,0,0,0.0,0.0,0.0,0.0021483656018972397,0.0,0.0
2019-01-02,FAST,2,0,0,0.0,0.0,0.0,0.44723733700811863,0.0,0.0
2019-01-02,FFIV,1,0,0,0.0,0.0,0.0,-0.043919824063777924,0.0,0.0
2019-01-02,GLW,1,0,0,0.0,0.0,0.0,0.02952505275607109,0.0,0.0
2019-01-02,GOOGL,1,0,0,0.0,0.0,0.0,-0.9616672992706299,0.0,0.0
2019-01-02,GPN,1,0,0,0.0,0.0,0.0,0.6552433371543884,0.0,0.0
2019-01-02,HBAN,1,0,0,0.0,0.0,0.0,-0.020441725850105286,0.0,3.427732169685865
2019-01-02,LLY,6,0,0,0.0,0.0,0.0,0.23830184526741505,1.0997429960798157,0.5712886949476442
2019-01-02,LYB,1,0,0,0.0,0.0,0.0,0.11078104376792908,0.0,0.0
2019-01-02,MET,4,0,0,0.0,0.0,0.0,-0.02190014300867915,0.0,0.0
2019-01-02,MKC,1,0,0,0.0,0.0,0.0,0.08614557236433029,0.0,0.0
2019-01-02,MTD,1,0,0,0.0,0.0,0.0,0.8100207448005676,0.0,0.0
2019-01-02,NEM,1,0,0,0.0,0.0,0.0,0.09739721566438675,0.0,0.0
2019-01-02,NKE,1,0,0,0.0,0.0,0.0,0.14737670123577118,0.0,0.0
2019-01-02,NRG,1,0,0,0.0,0.0,0.0,-0.5817140936851501,3.6448739313507454,0.0
2019-01-02,NVDA,3,0,0,0.0,0.0,0.0,-0.654628520210584,1.969056030085432,0.0
2019-01-02,ORCL,2,0,0,0.0,0.0,0.0,0.02187283057719469,1.8224369656753727,0.0
2019-01-02,OXY,1,0,0,0.0,0.0,0.0,0.40362146496772766,0.0,5.838840353309289
2019-01-02,PKG,1,0,0,0.0,0.0,0.0,0.051925819367170334,0.0,0.0
2019-01-02,QCOM,2,0,0,0.0,0.0,0.0,-0.4422832727432251,0.0,0.0
2019-01-02,SNPS,2,0,0,0.0,0.0,0.0,0.4420819953083992,0.0,0.0
2019-01-02,SRE,2,2,0,0.07369488850235939,0.0,0.07369488850235939,0.07369488850235939,9.29580106449389,2.7950611405953842
2019-01-02,SYY,2,0,0,0.0,0.0,0.0,-0.008392480202019215,0.0,0.0
2019-01-02,TAP,1,0,0,0.0,0.0,0.0,0.9264194965362549,0.0,0.0
2019-01-02,TDY,2,0,0,0.0,0.0,0.0,0.9244499504566193,0.0,0.0
2019-01-02,TRV,3,1,0,0.0209925373395284,0.0,0.0209925373395284,0.018303280075391132,3.0986003548312966,2.285154779790577
2019-01-02,UDR,2,0,0,0.0,0.0,0.0,-0.0034082578495144844,0.0,0.0
2019-01-02,VRTX,4,0,0,0.0,0.0,0.0,-0.27243543043732643,1.6496144941197235,0.8569330424214663
2019-01-02,VTR,3,0,0,0.0,0.0,0.0,0.08367986728747685,0.0,3.0888575076650517
2019-01-02,WEC,1,0,0,0.0,0.0,0.0,0.05533348023891449,0.0,5.838840353309289
2019-01-02,WMT,3,0,0,0.0,0.0,0.0,0.1209954967101415,0.0,0.0
2019-01-02,WST,1,0,0,0.0,0.0,0.0,0.9378304481506348,0.0,0.0
2019-01-03,ABBV,4,0,0,0.0,0.0,0.0,0.3949563205242157,0.0,0.0
2019-01-03,ADP,2,0,0,0.0,0.0,0.0,-0.009054920636117458,0.0,0.0
2019-01-03,AEE,1,0,0,0.0,0.0,0.0,-0.8201661109924316,8.476390699714718,2.7950611405953842
2019-01-03,ALB,6,0,0,0.0,0.0,0.0,-0.27412984768549603,0.0,0.0
2019-01-03,APA,1,0,0,0.0,0.0,0.0,0.09203099459409714,0.0,3.427732169685865
2019-01-03,APO,1,0,0,0.0,0.0,0.0,0.02494782581925392,0.0,0.0
2019-01-03,ATO,1,1,0,0.07914724200963974,0.0,0.07914724200963974,0.07914724200963974,9.29580106449389,2.7950611405953842
2019-01-03,AVB,2,0,0,0.0,0.0,0.0,0.11224257946014404,1.8224369656753727,0.0
2019-01-03,AVGO,4,0,0,0.0,0.0,0.0,-0.8943782597780228,0.9112184828376864,0.8569330424214663
2019-01-03,BAX,1,0,0,0.0,0.0,0.0,0.24947601556777954,0.0,0.0
2019-01-03,BLK,2,0,0,0.0,0.0,0.0,-0.1243995763361454,1.8224369656753727,0.0
2019-01-03,CAH,2,0,0,0.0,0.0,0.0,-0.46043224073946476,0.0,2.9194201766546444
2019-01-03,CHTR,1,0,0,0.0,0.0,0.0,-0.023235715925693512,0.0,0.0
2019-01-03,CL,3,0,0,0.0,0.0,0.0,0.2997814870129029,0.0,0.0
2019-01-03,CLX,1,0,0,0.0,0.0,0.0,-0.03662186115980148,0.0,0.0
2019-01-03,CME,3,0,0,0.0,0.0,0.0,0.7139998078346252,0.0,0.0
2019-01-03,CSCO,1,0,0,0.0,0.0,0.0,-0.9629868865013123,0.0,0.0
2019-01-03,CVS,1,0,0,0.0,0.0,0.0,-0.06613181531429291,3.6448739313507454,0.0
2019-01-03,D,2,0,0,0.0,0.0,0.0,-0.4363966193050146,0.0,0.0
2019-01-03,DELL,1,0,0,0.0,0.0,0.0,0.04814031347632408,0.0,0.0
2019-01-03,DHR,3,0,0,0.0,0.0,0.0,0.15780669947465262,0.0,1.1425773898952885
2019-01-03,EFX,1,0,0,0.0,0.0,0.0,-0.44274574518203735,0.0,0.0
2019-01-03,ESS,2,0,0,0.0,0.0,0.0,0.1122424378991127,1.8224369656753727,0.0
2019-01-03,FSLR,5,1,1,0.009455958008766174,0.009455958008766174,0.018911916017532348,0.43861232697963715,4.61117728502354,1.6190103520011732
2019-01-03,GOOGL,3,0,1,0.0,0.2909988760948181,0.2909988760948181,0.38399140785137814,2.4299159542338304,4.400872228570747
2019-01-03,HRL,1,0,0,0.0,0.0,0.0,-0.010841818526387215,0.0,0.0
2019-01-03,LLY,2,0,0,0.0,0.0,0.0,0.21397276315838099,0.0,0.0
2019-01-03,MET,3,0,0,0.0,0.0,0.0,0.2764744572341442,0.0,0.0
2019-01-03,MKC,1,0,0,0.0,0.0,0.0,-0.004569334909319878,0.0,0.0
2019-01-03,MSI,1,0,0,0.0,0.0,0.0,-0.2297895848751068,0.0,0.0
2019-01-03,MTD,4,0,0,0.0,0.0,0.0,-0.6249800473451614,0.0,0.0
2019-01-03,NCLH,1,0,0,0.0,0.0,0.0,0.6862276196479797,0.0,0.0
2019-01-03,NEM,2,0,0,0.0,0.0,0.0,0.4491169424727559,0.0,0.0
2019-01-03,NKE,1,0,0,0.0,0.0,0.0,0.019809063524007797,0.0,0.0
2019-01-03,NVDA,1,0,0,0.0,0.0,0.0,-0.9651923179626465,0.0,0.0
2019-01-03,PH,1,0,0,0.0,0.0,0.0,0.13346780836582184,0.0,0.0
2019-01-03,PNC,1,0,0,0.0,0.0,0.0,-0.0069267041981220245,0.0,0.0
2019-01-03,QCOM,8,0,0,0.0,0.0,0.0,-0.30888330563902855,0.0,1.1583215653743943
2019-01-03,ROST,1,0,0,0.0,0.0,0.0,-0.024261776357889175,0.0,0.0
2019-01-03,SNPS,1,0,0,0.0,0.0,0.0,-0.9256210327148438,0.0,3.427732169685865
2019-01-03,SYY,1,0,0,0.0,0.0,0.0,-0.031586091965436935,0.0,0.0
2019-01-03,TAP,1,0,0,0.0,0.0,0.0,0.9232736825942993,0.0,0.0
2019-01-03,TDY,4,0,0,0.0,0.0,0.0,0.9059358090162277,0.0,0.0
2019-01-03,TRV,1,0,0,0.0,0.0,0.0,-0.12657034397125244,0.0,0.0
2019-01-03,UAL,1,0,0,0.0,0.0,0.0,-0.9259102940559387,0.0,5.838840353309289
2019-01-03,UDR,1,0,0,0.0,0.0,0.0,0.15562407672405243,0.0,0.0
2019-01-03,VRTX,4,0,0,0.0,0.0,0.0,0.1745140291750431,0.0,0.0
2019-01-03,VTR,1,0,0,0.0,0.0,0.0,-0.03662186115980148,0.0,0.0
2019-01-03,WEC,1,0,0,0.0,0.0,0.0,-0.03662186115980148,0.0,0.0
2019-01-03,WMB,1,0,0,0.0,0.0,0.0,0.6328303217887878,0.0,0.0
2019-01-03,WMT,4,0,0,0.0,0.0,0.0,-0.025902248919010162,0.9112184828376864,0.0
2019-01-04,ABBV,4,0,0,0.0,0.0,0.0,0.029004493728280067,2.1190976749286796,0.0
2019-01-04,ADP,3,0,0,0.0,0.0,0.0,-0.3727523013949394,0.0,1.1425773898952885
2019-01-04,AEE,2,0,0,0.0,0.0,0.0,0.06595095433294773,4.238195349857359,1.3975305702976921
2019-01-04,AJG,1,0,0,0.0,0.0,0.0,0.8382704257965088,0.0,0.0
2019-01-04,ALB,1,0,0,0.0,0.0,0.0,0.05215802043676376,0.0,0.0
2019-01-04,ALLE,1,0,0,0.0,0.0,0.0,0.057643864303827286,0.0,5.838840353309289
2019-01-04,APO,4,0,0,0.0,0.0,0.0,0.12567133083939552,0.9112184828376864,0.8569330424214663
2019-01-04,AVGO,6,0,0,0.0,0.0,0.0,0.33870916937788326,0.6074789885584576,0.5712886949476442
2019-01-04,BLK,3,0,1,0.0,0.2926560441652934,0.2926560441652934,0.22820724298556647,1.2149579771169152,2.285154779790577
2019-01-04,CAG,2,0,0,0.0,0.0,0.0,-0.5212730728089809,0.0,0.0
2019-01-04,CAH,1,0,0,0.0,0.0,0.0,0.023645512759685516,0.0,0.0
2019-01-04,CDNS,1,0,0,0.0,0.0,0.0,0.8690779805183411,0.0,0.0
2019-01-04,CHTR,1,0,0,0.0,0.0,0.0,0.13002029061317444,0.0,0.0
2019-01-04,CLX,1,0,0,0.0,0.0,0.0,-0.345764696598053,0.0,3.427732169685865
2019-01-04,CME,3,0,0,0.0,0.0,0.0,-0.4410448869069417,0.0,0.0
2019-01-04,CPB,1,0,0,0.0,0.0,0.0,-0.9541695713996887,0.0,0.0
2019-01-04,CTSH,1,0,0,0.0,0.0,0.0,-0.2121945321559906,0.0,0.0
2019-01-04,D,3,0,0,0.0,0.0,0.0,0.22662774845957756,2.825463566571573,0.931687046865128
2019-01-04,DELL,1,0,0,0.0,0.0,0.0,0.007004523649811745,0.0,0.0
2019-01-04,DHR,1,0,0,0.0,0.0,0.0,-0.027012700214982033,0.0,0.0
2019-01-04,EFX,4,0,0,0.0,0.0,0.0,-0.8229731172323227,0.0,2.570799127264399
2019-01-04,ESS,1,0,0,0.0,0.0,0.0,-0.024633735418319702,6.30172268223578,3.427732169685865
2019-01-04,EXC,3,0,0,0.0,0.0,0.0,0.5015595679481825,1.2149579771169152,0.0
2019-01-04,GLW,1,0,0,0.0,0.0,0.0,0.024037623777985573,0.0,0.0
2019-01-04,GOOGL,4,0,0,0.0,0.0,0.0,0.266943134367466,0.9112184828376864,0.8569330424214663
