strategy,annual_return,annual_volatility,sharpe,sortino,max_drawdown,avg_daily_turnover,observations
Equal Weight,0.0385989494104384,0.25199571564863515,0.2763961978469992,0.4020793500469543,-0.23240884140412166,0.0,477.0
Monthly Mean-CVaR,0.07103901477723573,0.2060108648395329,0.4360583225728004,0.6569409495896829,-0.2574706555467484,0.048610860784752075,477.0
PPO-CVaR,-0.06989125244133354,0.2595169035931865,-0.14952555433640083,-0.23092658262986318,-0.31101563862229475,0.732183157614675,477.0
