Date,AAPL,ABBV,ACGL,ADP,AEE,AJG,ALB,ALLE,AMCR,AMZN,APA,APO,ARE,ATO,AVB,AVGO,AVY,BAX,BLK,CAG,CAH,CB,CDNS,CHTR,CL,CLX,CME,CMS,CPB,CSCO,CTSH,CVS,D,DECK,DELL,DG,DHR,EFX,EQR,ESS,EXC,EXPD,FAST,FFIV,FITB,FSLR,GDDY,GLW,GOOGL,GPN,HBAN,HPQ,HRL,J,LLY,LMT,LNT,LRCX,LYB,MET,MKC,MPWR,MRNA,MSFT,MSI,MTD,NCLH,NDSN,NEM,NKE,NRG,NVDA,ORCL,OXY,PH,PKG,PLD,PNC,POOL,PSX,QCOM,REG,ROST,RTX,SNPS,SPGI,SRE,SW,SYF,SYY,TAP,TDY,TRV,UAL,UDR,VRTX,VTR,VTRS,WBD,WEC,WMB,WMT,WST,XOM,YUM
2018-01-02,40.30419158935547,68.77313232421875,27.988113403320312,97.14024353027344,46.159461975097656,55.36445236206055,117.5052261352539,72.20519256591797,41.230770111083984,59.45050048828125,35.435020446777344,25.149627685546875,95.63937377929688,69.83399963378906,133.3087158203125,21.086660385131836,99.90420532226562,58.4164924621582,414.3572082519531,26.422834396362305,49.80729675292969,123.60693359375,42.04999923706055,348.9700012207031,61.35474395751953,112.08687591552734,107.44207000732422,36.46149444580078,35.060569763183594,30.2695369720459,62.98783874511719,56.00663375854492,55.65732192993164,13.375,21.049423217773438,83.9706802368164,78.78562927246094,111.00756072998047,46.742462158203125,181.2464141845703,21.18340492248535,59.0515251159668,10.947259902954102,132.5800018310547,22.34402847290039,70.43000030517578,49.06999969482422,26.14986801147461,53.22063446044922,94.44063568115234,10.115029335021973,16.10376739501953,28.756269454956055,51.62794494628906,75.02672576904297,255.9257049560547,32.22698974609375,16.871246337890625,68.25199890136719,37.8373908996582,43.20643615722656,108.72499084472656,,78.870361328125,80.83952331542969,626.0999755859375,54.959999084472656,134.95907592773438,30.209331512451172,56.926700592041016,23.783830642700195,4.928266525268555,41.107627868652344,60.29182434082031,176.26608276367188,96.7234878540039,50.861419677734375,107.95270538330078,119.17215728759766,73.83670806884766,52.61402893066406,49.7423095703125,74.18936157226562,66.6450424194336,86.02999877929688,156.36062622070312,40.5008544921875,24.992145538330078,31.59813690185547,48.565364837646484,65.89497375488281,184.33999633789062,110.5551986694336,68.94000244140625,27.73678207397461,152.91000366210938,42.37459945678711,34.9400749206543,23.110000610351562,50.44883728027344,19.916728973388672,28.800235748291016,96.75404357910156,58.58041000366211,70.17970275878906
2018-01-03,40.297157287597656,69.84938049316406,28.013469696044922,98.19548797607422,45.922298431396484,55.78299331665039,117.73751831054688,72.51240539550781,41.230770111083984,60.209999084472656,36.258914947509766,25.651121139526367,95.19036865234375,69.25914764404297,133.72239685058594,21.317258834838867,100.189208984375,59.355743408203125,418.7290344238281,26.28902816772461,49.515838623046875,124.57979583740234,42.93000030517578,353.0299987792969,61.11793899536133,110.88086700439453,109.16364288330078,36.23627853393555,34.56488037109375,30.511001586914062,63.520503997802734,55.762847900390625,53.51508712768555,13.225000381469727,21.271583557128906,83.9081802368164,79.8339614868164,111.58332824707031,46.98533248901367,183.1035614013672,20.899818420410156,59.13332748413086,10.951276779174805,134.0399932861328,22.410114288330078,69.80000305175781,50.0099983215332,26.791187286376953,54.12862777709961,96.4800796508789,10.198166847229004,16.141538619995117,28.471542358398438,51.805519104003906,75.43427276611328,258.0708923339844,31.943838119506836,17.158262252807617,68.2702407836914,38.078678131103516,43.308876037597656,110.77218627929688,,79.23741912841797,80.26815032958984,631.5399780273438,55.369998931884766,136.51541137695312,29.956005096435547,56.9177360534668,23.76737403869629,5.252614498138428,42.05971145629883,61.123085021972656,177.7034912109375,98.57798767089844,50.76606750488281,107.93031311035156,119.0449447631836,74.3301773071289,53.211185455322266,49.39179992675781,74.14328002929688,67.62269592285156,87.05999755859375,158.8717041015625,41.573448181152344,25.209857940673828,31.80954933166504,48.669715881347656,65.26200866699219,184.08999633789062,110.90702819824219,68.48999786376953,27.940837860107422,152.00999450683594,42.62986755371094,34.96438980102539,22.6200008392334,50.27240753173828,20.466772079467773,29.05145263671875,96.87075805664062,59.7309455871582,70.11949157714844
2018-01-04,40.48433303833008,69.4510269165039,28.11806869506836,99.13349151611328,45.40054702758789,56.29949951171875,116.33487701416016,73.52442932128906,41.230770111083984,60.47949981689453,37.466739654541016,25.681058883666992,93.29127502441406,68.9635238647461,131.33058166503906,21.324373245239258,100.85420227050781,59.494911193847656,424.2567138671875,26.71860694885254,50.146018981933594,125.08358001708984,43.58000183105469,349.7900085449219,61.50988006591797,112.62799835205078,110.32862091064453,35.83244705200195,34.85342025756836,30.597328186035156,64.52369689941406,57.233097076416016,53.26548385620117,13.15999984741211,21.649518966674805,84.89020538330078,80.21747589111328,112.95767211914062,46.17575454711914,180.2196807861328,20.605525970458984,59.069705963134766,10.995434761047363,137.1199951171875,22.49088478088379,69.13999938964844,50.54999923706055,27.063751220703125,54.33888244628906,98.32032012939453,10.288230895996094,16.26238441467285,28.827436447143555,52.3382453918457,75.77094268798828,262.49774169921875,31.568828582763672,17.236696243286133,68.5986328125,38.72714614868164,43.58203887939453,111.80045318603516,,79.93484497070312,80.937744140625,627.030029296875,54.68000030517578,137.4857940673828,30.288501739501953,56.88187026977539,23.495792388916016,5.280303955078125,42.47406005859375,61.09049606323242,178.5148162841797,100.22122192382812,49.7490119934082,107.93777465820312,119.96255493164062,74.12696075439453,53.28379821777344,47.77521514892578,74.56725311279297,67.83589172363281,87.88999938964844,161.25267028808594,41.2966423034668,25.209857940673828,32.03722381591797,49.13001251220703,65.70269012451172,187.1199951171875,110.90702819824219,69.26000213623047,27.372394561767578,153.07000732421875,41.5875129699707,35.912662506103516,22.1299991607666,50.096004486083984,20.818544387817383,29.07773780822754,96.84153747558594,59.81362533569336,70.83335876464844
2018-01-05,40.94526290893555,70.66001892089844,28.007131576538086,99.0748519897461,45.36893081665039,56.55775833129883,117.6749267578125,73.70513916015625,41.230770111083984,61.457000732421875,37.10678482055664,25.80830955505371,93.48265838623047,68.31477355957031,131.06732177734375,21.450735092163086,102.04603576660156,60.1645393371582,427.8714904785156,26.80311393737793,49.79943084716797,125.3094711303711,43.9900016784668,350.8800048828125,61.583370208740234,112.65888977050781,111.04846954345703,35.5761604309082,34.986595153808594,31.021089553833008,65.0740966796875,59.76223373413086,53.27241897583008,13.15999984741211,21.80784034729004,85.45262145996094,80.7203140258789,114.06275939941406,46.138954162597656,180.71038818359375,20.434309005737305,59.151485443115234,11.017513275146484,136.17999267578125,22.549619674682617,69.16999816894531,51.04999923706055,26.967546463012695,55.05943298339844,98.23495483398438,10.378297805786133,16.428564071655273,28.74834442138672,52.60847091674805,76.70125579833984,264.8759765625,31.438737869262695,17.505876541137695,69.55342864990234,39.089080810546875,44.00885772705078,112.23979949951172,,80.92584228515625,82.02688598632812,637.3499755859375,54.869998931884766,136.716796875,30.399333953857422,57.366050720214844,23.643932342529297,5.325048446655273,42.72972106933594,60.75636291503906,179.73171997070312,100.52638244628906,49.709266662597656,108.07211303710938,120.1079330444336,74.13423919677734,53.638877868652344,47.760894775390625,75.54413604736328,68.41829681396484,88.93000030517578,163.41041564941406,41.692623138427734,25.209857940673828,32.313690185546875,49.62259292602539,66.44783782958984,186.30999755859375,110.70598602294922,69.36000061035156,27.33595848083496,155.69000244140625,41.374778747558594,36.09906768798828,22.0,49.75849914550781,20.760982513427734,29.25010108947754,98.05708312988281,59.76539611816406,71.24615478515625
2018-01-08,40.793174743652344,69.52790832519531,28.01030158996582,98.77336883544922,45.90648651123047,56.59336471557617,122.79397583007812,73.4069595336914,41.230770111083984,62.34349822998047,36.73084259033203,26.137649536132812,93.68876647949219,68.52827453613281,131.16513061523438,21.502065658569336,102.42601776123047,60.251529693603516,431.0627136230469,26.422834396362305,51.37485885620117,124.6753158569336,44.91999816894531,356.54998779296875,61.673179626464844,113.20780181884766,112.59188842773438,35.98777770996094,35.23812484741211,31.342844009399414,65.13627624511719,59.24423599243164,54.09050369262695,13.494999885559082,21.802734375,84.27993774414062,81.1805648803711,113.28270721435547,46.44807052612305,179.7969207763672,20.653684616088867,59.505916595458984,11.133930206298828,137.6199951171875,22.542280197143555,69.62000274658203,51.08000183105469,27.071767807006836,55.25382995605469,98.82306671142578,10.35750961303711,16.496543884277344,28.795804977416992,52.46949005126953,76.3114242553711,263.6547546386719,31.790767669677734,17.637805938720703,69.39533233642578,39.19465255737305,44.055809020996094,113.63262939453125,,81.0084457397461,82.86609649658203,633.1799926757812,54.65999984741211,135.8654022216797,30.36766815185547,57.87712097167969,24.006038665771484,5.4882121086120605,43.179325103759766,61.2779426574707,181.26620483398438,101.39495849609375,50.28931427001953,108.27369689941406,119.45378112792969,74.06167602539062,53.477481842041016,48.15431594848633,74.8529052734375,69.0683364868164,89.76000213623047,164.78688049316406,41.70414733886719,24.496660232543945,31.923383712768555,49.727577209472656,67.16094207763672,188.5800018310547,110.11123657226562,68.51000213623047,27.40884017944336,156.88999938964844,41.445709228515625,36.11526870727539,22.3700008392334,50.188045501708984,20.837730407714844,29.682449340820312,98.61135864257812,60.03407287597656,71.36656951904297
2018-01-09,40.78849792480469,70.05203247070312,27.64896011352539,99.4601058959961,45.31359100341797,56.66462326049805,120.99830627441406,74.93399810791016,41.230770111083984,62.6349983215332,35.63500213623047,26.713991165161133,92.98211669921875,67.82206726074219,130.17227172851562,21.20433807373047,102.6937255859375,60.33848190307617,434.6855773925781,26.331275939941406,52.85575485229492,126.69059753417969,45.06999969482422,354.760009765625,61.763031005859375,112.99132537841797,113.259765625,35.49850082397461,35.25303649902344,31.146638870239258,65.2161636352539,59.18330001831055,53.52894973754883,13.333333015441895,21.521839141845703,84.36946868896484,84.04423522949219,113.5241470336914,45.88871383666992,178.37008666992188,20.418256759643555,60.023902893066406,11.111852645874023,137.83999633789062,22.946130752563477,70.0199966430664,51.20000076293945,26.975568771362305,55.18341064453125,99.42066955566406,10.551498413085938,16.473880767822266,28.787891387939453,52.27648162841797,76.24940490722656,265.54278564453125,31.308618545532227,17.610172271728516,70.02777099609375,39.48118591308594,44.01312255859375,113.43633270263672,,80.95338439941406,82.24115753173828,649.989990234375,54.939998626708984,134.473876953125,30.169754028320312,57.46467590332031,23.635698318481445,5.486728191375732,43.41825485229492,61.033447265625,182.82708740234375,100.08036041259766,49.780784606933594,110.34139251708984,119.45378112792969,73.81494140625,52.67051315307617,47.13859558105469,74.1985855102539,69.82234191894531,89.69000244140625,164.84263610839844,41.37354278564453,24.496660232543945,32.06974792480469,49.56606674194336,67.00872802734375,188.88999938964844,110.96564483642578,68.4800033569336,27.144296646118164,156.00999450683594,40.90679931640625,35.896446228027344,21.649999618530273,49.789180755615234,20.933671951293945,29.326051712036133,99.48648834228516,59.7791633605957,71.1773452758789
2018-01-10,40.77914047241211,69.66768646240234,27.496816635131836,98.5304946899414,44.6495361328125,56.61118698120117,118.78275299072266,74.63582611083984,41.230770111083984,62.71649932861328,35.18705749511719,26.616687774658203,92.21658325195312,66.35214233398438,128.58531188964844,20.756555557250977,102.41737365722656,59.51228332519531,432.7559814453125,25.936906814575195,53.61196517944336,126.20415496826172,44.84000015258789,350.8299865722656,61.09345245361328,111.65390014648438,113.4600830078125,34.93159103393555,34.14998245239258,31.319292068481445,65.66891479492188,58.99285888671875,52.83564376831055,13.43166732788086,21.606103897094727,84.84390258789062,83.72891235351562,112.5305404663086,45.23368835449219,175.31256103515625,20.305889129638672,59.46956253051758,10.921168327331543,139.0,23.188444137573242,69.63999938964844,50.91999816894531,26.719043731689453,55.05199432373047,98.24445343017578,10.724700927734375,16.655162811279297,27.989105224609375,52.35368347167969,76.28483581542969,265.9766540527344,30.75759506225586,17.083389282226562,69.95481872558594,39.986385345458984,43.3558349609375,112.19303894042969,,80.58633422851562,82.47329711914062,646.1900024414062,55.599998474121094,133.34786987304688,30.351837158203125,57.58125305175781,23.24067497253418,5.529744625091553,43.18815994262695,60.51184844970703,182.20098876953125,100.15860748291016,48.8193359375,111.68498229980469,118.44532775878906,74.0761947631836,52.66244125366211,46.738014221191406,74.35526275634766,70.14993286132812,89.33999633789062,163.32667541503906,41.20823287963867,25.510154724121094,32.24862289428711,49.541847229003906,68.27469635009766,187.5,110.66410064697266,73.08000183105469,26.754854202270508,157.3800048828125,40.304080963134766,35.97749328613281,22.829999923706055,48.838035583496094,20.94646453857422,29.11571502685547,97.4444580078125,59.303810119628906,70.99673461914062
2018-01-11,41.01076889038086,69.87176513671875,28.16878318786621,98.13684844970703,44.38866424560547,56.45980453491211,120.32827758789062,76.24417114257812,41.230770111083984,63.83399963378906,36.794837951660156,26.863691329956055,92.08407592773438,65.69519805908203,127.69023132324219,20.809465408325195,103.26371765136719,59.53837585449219,437.92578125,25.88760757446289,54.4390754699707,125.51795196533203,44.869998931884766,355.2699890136719,60.872962951660156,109.76766967773438,113.39328002929688,34.473392486572266,34.097808837890625,31.4683895111084,65.70442962646484,60.196475982666016,52.83564376831055,13.616666793823242,22.17300796508789,87.89645385742188,84.02720642089844,112.81838989257812,44.865684509277344,175.4786834716797,20.552021026611328,60.3328857421875,11.057659149169922,139.77000427246094,23.394044876098633,76.2699966430664,51.29999923706055,27.063751220703125,55.14671325683594,98.6523208618164,10.82862377166748,16.927087783813477,27.303730010986328,53.65848159790039,76.5417709350586,266.04095458984375,30.489748001098633,16.856990814208984,71.57855987548828,40.33323669433594,43.108280181884766,113.78218078613281,,80.82490539550781,83.51780700683594,639.260009765625,56.15999984741211,134.96820068359375,30.747652053833008,57.64400100708008,23.545175552368164,5.53963565826416,43.3209114074707,61.79136657714844,183.73544311523438,101.12889862060547,48.98619842529297,113.08087921142578,119.4901351928711,74.28660583496094,52.799625396728516,46.04417037963867,76.08787536621094,70.19676208496094,89.70999908447266,164.06141662597656,41.01984786987305,25.510154724121094,32.32994842529297,49.43687057495117,67.69779968261719,188.6999969482422,110.85676574707031,76.44999694824219,26.512359619140625,158.39999389648438,39.87154769897461,37.85782241821289,24.010000228881836,48.76899337768555,21.170318603515625,29.21796226501465,96.35538482666016,59.88942337036133,70.94512939453125
2018-01-12,41.434261322021484,70.62490844726562,28.745662689208984,99.21723175048828,43.890625,56.88726043701172,119.28303527832031,76.840576171875,41.230770111083984,65.26000213623047,37.72269821166992,27.088241577148438,92.09879302978516,65.56380462646484,126.53194427490234,20.871854782104492,103.07373809814453,59.43403244018555,452.26220703125,25.852392196655273,56.313838958740234,126.50814819335938,45.06999969482422,354.0,60.93015670776367,108.97138977050781,113.33395385742188,34.17827606201172,33.91893005371094,32.072662353515625,66.1927261352539,60.01363754272461,52.648460388183594,13.824999809265137,22.152578353881836,88.71099853515625,84.70903015136719,114.08129119873047,44.46826934814453,171.4473114013672,20.54132080078125,60.641868591308594,11.158020973205566,141.80999755859375,23.75383758544922,73.41000366210938,51.43000030517578,27.78523063659668,56.069091796875,97.95038604736328,10.98104190826416,17.312301635742188,27.470703125,53.704795837402344,77.06451416015625,270.15460205078125,30.252500534057617,16.802616119384766,71.56639099121094,40.21259689331055,43.11254119873047,114.87590789794922,,82.21969604492188,86.21392822265625,650.5999755859375,57.849998474121094,135.9111785888672,31.499731063842773,57.984710693359375,23.619237899780273,5.5124406814575195,43.81650924682617,62.370018005371094,185.2257537841797,100.40901184082031,49.145118713378906,113.34207153320312,119.20848083496094,76.17337036132812,52.75927734375,45.82241439819336,77.02790832519531,71.02359008789062,90.37000274658203,165.21470642089844,41.0928955078125,25.510154724121094,32.01282501220703,49.56606674194336,68.01029205322266,193.27999877929688,112.85874938964844,78.4000015258789,26.233121871948242,157.92999267578125,38.87883377075195,38.01180648803711,24.329999923706055,48.807350158691406,21.24066925048828,29.466270446777344,95.04261016845703,60.295860290527344,71.91700744628906
2018-01-16,41.22368621826172,72.13819885253906,28.96436882019043,99.98771667480469,43.84319305419922,56.47761154174805,114.35157775878906,75.96408081054688,41.230770111083984,65.24299621582031,37.010799407958984,26.257417678833008,91.95895385742188,65.7773208618164,127.13367462158203,20.78972053527832,101.37236785888672,58.85133743286133,458.3435974121094,25.8946590423584,57.17246627807617,126.53423309326172,44.279998779296875,352.92999267578125,61.583370208740234,110.0923080444336,112.94070434570312,34.372440338134766,34.61207580566406,31.813695907592773,66.3436508178711,60.51643753051758,52.1839485168457,13.708333015441895,21.98403549194336,88.12020874023438,84.7772216796875,113.44054412841797,44.65226364135742,171.82476806640625,20.584125518798828,59.496826171875,11.127907752990723,140.52000427246094,23.702434539794922,71.22000122070312,50.130001068115234,27.584815979003906,56.07156753540039,99.22148895263672,10.863264083862305,17.282089233398438,27.60587501525879,53.596710205078125,75.56716918945312,265.2214050292969,30.275461196899414,16.97018814086914,70.4778060913086,39.09663391113281,43.2320556640625,112.08087921142578,,81.07266998291016,85.58008575439453,649.4199829101562,57.38999938964844,133.8788299560547,31.665964126586914,56.86393356323242,22.96086311340332,5.441488742828369,43.887298583984375,61.3431510925293,185.1111602783203,98.49972534179688,49.37553405761719,114.21980285644531,116.9734878540039,75.10662841796875,55.07527542114258,45.53630065917969,74.5303955078125,69.66634368896484,89.2699966430664,163.53125,41.158241271972656,25.510154724121094,30.84192657470703,49.840633392333984,67.8821029663086,193.0800018310547,113.52055358886719,77.48999786376953,26.505006790161133,155.7100067138672,38.65902328491211,37.80108642578125,24.530000686645508,48.439170837402344,20.84412956237793,29.413681030273438,95.13013458251953,59.916961669921875,71.32354736328125
