sentiment_6m,alpha_3factor,beta_mkt,factor_score,month,rank,ticker,formation_date
0.008093771437356628,0.15071805910263852,1.2649314864089247,0.6733333333333333,2019-07,10,AVGO,2019-06-28
0.010899714638503174,0.24914818606097897,1.0450203092327364,0.9600000000000001,2019-08,1,GPN,2019-07-31
0.012411707056262506,0.24810961989052288,1.0691696628434721,0.9066666666666667,2019-08,2,SNPS,2019-07-31
0.02544990439145338,0.26528157295436233,1.3353553279828618,0.8933333333333334,2019-08,3,FSLR,2019-07-31
0.013994486953215623,0.22955035455294517,0.7910237871410757,0.8400000000000001,2019-08,4,MSI,2019-07-31
0.008557049043462934,0.22525058965959838,1.2874607284532606,0.8,2019-08,5,AVGO,2019-07-31
0.016224733769570163,0.1853449581442647,0.823064064605775,0.7666666666666668,2019-08,6,DHR,2019-07-31
0.008081404935745965,0.1907296556492132,1.501744913245973,0.7333333333333334,2019-08,7,MPWR,2019-07-31
0.0051069216083281885,0.14280977701157238,1.1631452382080978,0.64,2019-08,8,FAST,2019-07-31
0.009064221941920183,0.17920382771015003,0.13963334218165158,0.6266666666666667,2019-08,9,WEC,2019-07-31
0.004379036466753672,0.1510908370569877,0.4428528371293969,0.6199999999999999,2019-08,10,CLX,2019-07-31
0.0058407511092467695,0.3445911400124649,1.2781106126267912,0.9066666666666667,2019-09,1,AVGO,2019-08-30
0.008023776675737093,0.3125925769287171,1.138093164643601,0.8866666666666667,2019-09,2,CDNS,2019-08-30
0.009537341102721199,0.33778923790759674,1.4771706521395902,0.8400000000000001,2019-09,3,LRCX,2019-08-30
0.015585819249430663,0.25318636684284135,1.1490468400092246,0.8133333333333334,2019-09,4,SNPS,2019-08-30
0.028656754751132912,0.2813048335526691,1.3416858007711427,0.8066666666666668,2019-09,5,FSLR,2019-08-30
0.00994240669927821,0.22638979732794903,0.858448748969415,0.7733333333333334,2019-09,6,DHR,2019-08-30
0.004244898624077078,0.19748235330909802,1.0721746581210623,0.76,2019-09,7,GPN,2019-08-30
0.01091861756303725,0.21091676332035816,1.1449929356813444,0.7400000000000001,2019-09,8,FITB,2019-08-30
0.014137182985900571,0.23158356287821133,0.15641606663177465,0.68,2019-09,9,WEC,2019-08-30
0.00743354596788921,0.16847512093243233,0.538201948516461,0.6066666666666667,2019-09,10,ARE,2019-08-30
